entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,sufiks,indeks_basis,makna_snippet
"linu (1)",22320,"-in-","lu",22648,"dasar","","lu","terasa sakit pada gigi (tulang dsb.); ngilu"
"merakan",24321,"-er-","ma",22846,"dasar","-kan","ma","rumput tinggi, batangnya keras, terdiri atas tangkai dan daun seperti sereh, warna daun hitam atau cokelat tua | rumput "
"Mina (5)",24732,"-in-","ma",22846,"dasar","","ma","tempat di pinggir kota Mekah sebagai tempat bermalam, melempar jamrah, dan menyembelih ternak kurban bagi orang yang sed"
"nenas",25891,"R.purwa","nas",25732,"dasar","","nas","nanas"
"pelak (1)",28235,"-el-","pak",27170,"dasar","","pak","hantu jahat (dipakai juga untuk memaki); pilak"
"pelan",28245,"-el-","pan",27359,"dasar","","pan","tanah lapang; lapangan (bola dsb.)"
"pelupuh",28364,"-el-","pupuh",30499,"dasar","","pupuh","belahan bambu yang dipupuh (untuk pagar dsb.)"
"pepak (2)",28570,"R.purwa","pak",27170,"dasar","","pak","me.me.pak"
"peparu",28573,"R.purwa","paru",27838,"prakategorial","","paru","paru-paru"
"pepatah",28576,"R.purwa","pa",27046,"dasar","-tah","pa","peribahasa yang mengandung nasihat atau ajaran dari orang tua-tua (biasanya dipakai atau diucapkan untuk mematahkan lawa"
"pepe (2)",28579,"R.purwa","pe",28063,"dasar","","pe","kain yang keras seperti kain dril; kain pepe"
"pepet",28590,"R.purwa","pet",29022,"dasar","","pet","memepet"
"pepetek",28593,"R.purwa","petek",29052,"dasar","","petek","ikan yang hidup di air laut atau payau, berbadan amat pipih, bersisik kecil-kecil berkilat, rahangnya dapat menjulur unt"
"pepung",28606,"R.purwa","pung",30453,"dasar","","pung","pertemuan (rapat dsb.) untuk mempersiapkan upacara adat (di Lampung)"
"peputut",28607,"R.purwa","putut",30625,"dasar","","putut","murid seorang pertapa (pendeta); putut"
"peras (3)",28662,"-er-","pas",27849,"dasar","","pas","sesajian dari pertunjukan tari seblang, berupa anyaman daun kelapa atau bambu, berisi kelapa yang dikupas sampai batokny"
"perasukan",28665,"-er-","pasukan",74356,"turunan","","pasukan","pasukan"
"perasukan",28665,"-er-","pasu",27937,"dasar","-kan","pasu","pasukan"
"pere",28697,"-er-","pe",28063,"dasar","","pe","senggang (tidak bekerja dsb.); perai; libur"
"rela",31493,"-el-","ra",30658,"dasar","","ra","bersedia dengan ikhlas hati | izin (persetujuan); perkenan | dapat diterima dengan senang hati | tidak mengharap imbalan"
"relai (1)",31495,"-el-","ra",30658,"dasar","-i","ra","siput mutiara"
"rema",31529,"-em-","ra",30658,"dasar","","ra","rambut"
"remai",31533,"-em-","ra",30658,"dasar","-i","ra","berasa nyeri di tulang; reumatik"
"remas",31541,"-em-","ras",31134,"dasar","","ras","kepal dan peras"
"rerata",31806,"R.purwa","rata",31177,"dasar","","rata","nilai, angka, dsb. yang paling umum; nilai dsb. rata-rata | statistik yang menunjukkan nilai yang paling umum atau perte"
"rerata",31806,"-er-","rata",31177,"dasar","","rata","nilai, angka, dsb. yang paling umum; nilai dsb. rata-rata | statistik yang menunjukkan nilai yang paling umum atau perte"
"rerongkong",31807,"R.purwa","rongkong",32288,"dasar","","rongkong","rongkong"
"rerongkong",31807,"-er-","rongkong",32288,"dasar","","rongkong","rongkong"
"rerugi",31809,"R.purwa","rugi",32398,"dasar","","rugi","kerugian listrik di penghantar alat listrik lain"
"rerugi",31809,"-er-","rugi",32398,"dasar","","rugi","kerugian listrik di penghantar alat listrik lain"
"reruku",31810,"R.purwa","ruku",32418,"prakategorial","","ruku","ruku-ruku"
"reruku",31810,"-er-","ruku",32418,"prakategorial","","ruku","ruku-ruku"
"reruku",31810,"R.purwa","ru",32337,"dasar","-ku","ru","ruku-ruku"
"reruku",31810,"-er-","ru",32337,"dasar","-ku","ru","ruku-ruku"
"selai",33730,"-el-","sa",32546,"dasar","-i","sa","bubur dari buah-buahan yang dimasak dengan gula sampai kental (biasanya dioleskan pada roti, kue, dsb.); jem"
"selampai (2)",33750,"-el-","sampai",32941,"dasar","","sampai","ikan laut, ukurannya mencapai 160 cm, hidup di dasar perairan tropis, tersebar di perairan Pakistan dan sepanjang pantai"
"selampai (2)",33750,"-el-","sampa",32938,"dasar","-i","sampa","ikan laut, ukurannya mencapai 160 cm, hidup di dasar perairan tropis, tersebar di perairan Pakistan dan sepanjang pantai"
